,Course Code,INSTITUTION and COURSE,EOS,Mid
352,DL828,"3D Design, Modelmaking and Digital Art",#691,866
353,DL829,Design for Stage and Screen (Costume Design),#817,1021
354,DL830,Design for Stage and Screen (Makeup Design),#879,953
355,DL831,Design for Stage and Screen (Production Design),#893,1073
356,DL832,Animation,#855,1055
357,DL833,Photography,#636,791
358,DL834,Film and Television Production,#933,1011
359,DL835,Creative Media Technologies,237,289
360,DL836,Creative Computing,217,326
361,DL837,New Media Studies,290,349
362,DL838,Creative Music Production,#746,873
364,GC200,Business Studies (Cork),269,359
365,GC201,Accounting and Finance (Cork),251,388
366,GC230,Computing Science (Cork),228,327
367,GC300,Business Studies (Limerick),251,302
368,GC301,Accounting and Finance,307,314
369,GC302,"Business Studies - (HRM, Limerick)",269,269
370,GC305,International Hospitality Management (Limerick),327,327
371,GC400,Business Studies (Dublin),246,297
372,GC401,Accounting and Finance (Dublin),181,309
373,GC402,"Business Studies (HRM, Dublin)",217,290
374,GC403,Law (Dublin),225,308
375,GC405,International Hospitality Management (Dublin),254,272
376,GC407,"Business Studies (Marketing, Dublin)",246,330
377,GC430,Computing Science (Dublin),217,269
378,GC450,Journalism and Visual Media (Dublin),227,307
380,GC489,Interior Architecture (Dublin),#267,361
383,ID001,Accounting and Finance,229,291
384,ID002,Business Studies,285,366
387,BN101,Business,252,289
388,BN103,Business and Information Technology,254,290
389,BN104,Computing (Information Technology),260,293
390,BN107,Applied Social Studies in Social Care,300,328
391,BN108,Engineering (Common Entry with Award options),271,318
392,BN109,Business (Common Entry with Award options),260,279
393,BN110,International Business,253,308
394,BN111,Sports Management and Coaching,270,298
395,BN112,Creative Digital Media,280,329
396,BN113,Horticulture,289,321
397,BN114,Accounting and Finance,280,332
398,BN115,Community and Youth Development,250,298
399,BN117,Computer Engineering in Mobile Systems,273,311
400,BN118,Early Childhood Care and Education,290,320
401,BN119,Digital Marketing,270,308
402,BN120,Digital Forensics and Cyber Security,281,326
403,BN121,Mechatronic Engineering,276,340
404,BN123,"Design,Technology and Innovation",297,318
406,TA022,Creative Digital Media,260,318
407,TA023,Advertising and Marketing Communications,235,299
408,TA024,Early Childhood Care and Education,217,307
409,TA025,Social Care Practice,261,297
410,TA026,International Hospitality and Tourism Management,208,269
411,TA027,Botanical Cuisine,236,273
412,TA028,Digital Marketing Technologies,220,313
413,TA121,Accounting and Finance,202,328
414,TA122,Management,218,297
415,TA123,Marketing Management,207,284
416,TA125,International Business,229,300
417,TA221,Electronic Engineering,251,321
418,TA222,Mechanical Engineering,243,302
419,TA223,Sustainable Energy Engineering,236,305
420,TA224,Biomedical Design,218,324
421,TA225,Automation Engineering,235,288
422,TA226,Engineering Software,243,304
423,TA321,Pharmaceutical Science,261,298
424,TA322,Computing,200,294
425,TA323,Computing with IT Management,243,309
426,TA326,DNA and Forensic Analysis,300,362
427,TA327,Sports Science and Health,341,381
428,TA328,Computing with Language (French/German/Spanish),218,317
429,TA329,Computing with Data Analytics,218,296
431,AD101,First Year Art & Design (Common Entry),# +mat,ic 550
432,AD102,Graphic Design and Moving Image Design,# +mat,ic 635
433,AD103,Textile & Surface Design and Jewellery & Objects,# +mat,ic 545
434,AD202,Education & Design or Fine Art (Second Level Teaching),# +mat,ic 580
435,AD204,Fine Art,# +mat,ic 600
436,AD211,Fashion Design,# +mat,ic 600
437,AD212,Product Design,# +mat,ic 600
438,AD215,Visual Culture,300,338
439,AD217,Illustration,# +mat,ic 625
440,AD222,Interaction Design,# +mat,ic 657
442,NC003,Computing (Degree Award options),261,316
443,NC005,Human Resource Management,297,320
444,NC009,Business,297,339
445,NC010,Psychology,366,399
446,NC020,Marketing Practice,270,307
447,NC022,Accounting and Finance,338,376
448,NC023,Technology Management (with specialisations),260,303
449,NC025,Data Science,297,371
451,RC001,Medicine - Undergraduate Entry (HPAT required),#729,733
452,RC004,Physiotherapy,532*,542
453,RC005,Pharmacy,555,566
454,RC101,Medicine - Graduate Entry (GAMSAT required),#60,62
456,TR002,Music,#414,473
457,TR003,History,486,518
458,TR004,Law,532,552
459,TR005,Philosophy,391,446
460,TR006,Psychology,555*,577
461,TR007,Clinical Speech and Language Studies,499,529
462,TR009,Music Education,#430,465
463,TR012,History and Political Science,532*,557
464,TR015,"Philosophy, Political Science, Economics and Sociology",566,577
465,TR016,Deaf Studies,337,372
466,TR017,Law and Business,576,589
467,TR018,Law and French,532*,554
468,TR019,Law and German,523,555
469,TR020,Law and Political Science,567,600
470,TR021,"Classics, Ancient History and Archaeology",377,495
471,TR022,Early and Modern Irish,347,407
472,TR023,English Studies,463,511
473,TR024,European Studies,520,544
474,TR025,Drama and Theatre Studies,#489,531
475,TR028,Ancient and Medieval History and Culture,339,451
476,TR029,Political Science and Geography,477,500
477,TR031,Mathematics,566,589
478,TR032,Engineering,487*,520
479,TR033,Computer Science,465*,488
480,TR034,Management Science and Information Systems Studies,589*,602
481,TR035,Theoretical Physics,554,601
482,TR038,Engineering with Management,499,543
483,TR039,Computer Science and Language,435,498
484,TR040,Middle Eastern and European Languages and Cultures,485,518
485,TR041,Religion,347,393
486,TR051,Medicine (HPAT required),#730,739
487,TR052,Dental Science,590*,602
488,TR053,Physiotherapy,533*,544
489,TR054,Occupational Therapy,500,520
490,TR055,Radiation Therapy,510,521
491,TR056,Human Health and Disease,543,565
492,TR060,Biological and Biomedical Sciences,510*,542
493,TR061,Chemical Sciences,488*,520
494,TR062,Geography and Geoscience,435,485
495,TR063,Physical Sciences,498*,543
496,TR072,Pharmacy,555*,577
497,TR080,Global Business,565,577
498,TR081,"Business, Economic and Social Studies (BESS)",518*,542
499,TR082,Computer Science and Business,510,542
500,TR083,Sociology and Social Policy,451,474
501,TR084,Social Studies (Social Work),420*,462
502,TR085,Business Studies and French,509,553
503,TR086,Business Studies and German,474,495
504,TR087,Business Studies and Russian,467,487
505,TR089,Business Studies and Polish,393,434
506,TR090,Business Studies and Spanish,510,543
507,TR091,General Nursing (Meath and St James`s),393*,420
508,TR093,General Nursing (Adelaide School of Nursing),#378*,409
509,TR095,Mental Health Nursing,358,377
510,TR097,Intellectual Disability Nursing,346,350
511,TR911,Children`s and General Nursing (Integrated),476*,487
512,TR913,Midwifery,423,462
514,DN100,Architecture,473,509
515,DN120,Landscape Architecture,353,403
516,DN130,City Planning and Environmental Policy,367,421
517,DN150,Engineering (Common Entry),511,554
518,DN200,Science (options),521,554
519,DN201,Computer Science (Common Entry),488,509
520,DN230,Actuarial and Financial Studies,577,589
521,DN250,Agricultural Science (options),420,462
522,DN252,Dairy Business,398,428
523,DN253,Agri - Environmental Sciences,403,419
524,DN261,Food Science,434,467
525,DN262,Human Nutrition,493,510
526,DN271,Forestry,303,361
527,DN272,"Horticulture, Landscape and Sportsturf Management",252,312
528,DN300,Veterinary Medicine - Undergraduate Entry,#567,589
530,DN310,Veterinary Nursing,441,487
531,DN400,Medicine - Undergraduate Entry (HPAT required),#735,745
532,DN401,Medicine - Graduate Entry (GAMSAT required),#59*,61
533,DN410,Radiography,507,522
535,DN420,Physiotherapy,542,555
536,DN425,Health and Performance Science,488,509
537,DN430,Sport and Exercise Management,436,455
538,DN440,"Biomedical, Health and Life Sciences",565*,579
539,DN450,General Nursing,398,420
540,DN451,Children`s and General Nursing (Integrated),462*,499
541,DN452,Midwifery,409,452
542,DN453,Mental Health Nursing,379,403
543,DN520,Arts (Two Subjects),336,408
544,DN530,Humanities (options),348,411
545,DN541,Modern Languages (options),348,412
546,DN600,Law (options),520*,532
547,DN610,Business and Law,521,543
548,DN650,Commerce,498*,510
549,DN660,Commerce International (options),507,531
550,DN670,Economics and Finance,601,601
551,DN700,Social Sciences (options),388,441
552,DN710,Economics,476,488
553,DN720,Psychology,517,531
554,DN750,Social Policy and Sociology,330,366
556,DK810,Accounting and Finance,306,391
557,DK816,Business Studies,300,357
558,DK820,Computing in Games Development,307,369
559,DK821,Computing in Software Development,301,347
560,DK830,Building Surveying,302,349
561,DK831,Architectural Technology,301,366
562,DK832,Construction Management,300,329
563,DK843,Engineering (Common Entry),303,402
564,DK860,Music,#499,649
565,DK861,Arts,300,358
566,DK862,Social Care,300,338
567,DK863,Creative Media,300,376
568,DK864,Film and Television Production,300,332
569,DK865,Audio and Music Production,301,346
570,DK870,General Nursing,392,401
571,DK872,Intellectual Disability Nursing,300,317
572,DK874,Mental Health Nursing,356,378
573,DK876,Early Childhood Studies,305,359
574,DK877,Midwifery,398*,441
575,DK880,Health and Physical Activity,300,367
576,DK882,Agriculture (Award options),303,358
577,DK883,Science (Award options),300,369
579,GA181,Accounting,303,378
580,GA182,Business,290,347
581,GA183,Business Information Systems,309,373
582,GA184,Marketing and Sales,307,348
583,GA185,Finance and Economics,307,398
584,GA186,Business with Entrepreneurship,297,328
585,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367
586,GA281,Film and Documentary,287,360
587,GA282,Heritage Studies,238,308
588,GA283,Contemporary Art,260,340
589,GA284,Design,309,377
590,GA380,International Hotel Management,225,289
591,GA381,International Tourism Management,261,290
592,GA382,Culinary and Gastronomic Science,225,316
593,GA384,Event Management with Public Relations,209,289
594,GA385,Retail Management,219,319
595,GA480,Construction Management,260,312
596,GA482,Quantity Surveying and Construction Economics,280,340
597,GA483,Architectural Technology,251,321
598,GA484,Civil Engineering,270,362
599,GA580,Software and Electronic Engineering,301,351
600,GA680,Mechanical Engineering,336,389
601,GA681,Energy Engineering,281,328
602,GA682,Biomedical Engineering,331,383
