,Course_Code,Course_Title,EOS_2019,Mid,finalPoints2019
392,BN109,Business (Common Entry with Award options),260.0,279,260.0
393,BN110,International Business,253.0,308,253.0
394,BN111,Sports Management and Coaching,270.0,298,270.0
395,BN112,Creative Digital Media,280.0,329,280.0
396,BN113,Horticulture,289.0,321,289.0
397,BN114,Accounting and Finance,280.0,332,280.0
398,BN115,Community and Youth Development,250.0,298,250.0
399,BN117,Computer Engineering in Mobile Systems,273.0,311,273.0
400,BN118,Early Childhood Care and Education,290.0,320,290.0
401,BN119,Digital Marketing,270.0,308,270.0
402,BN120,Digital Forensics and Cyber Security,281.0,326,281.0
403,BN121,Mechatronic Engineering,276.0,340,276.0
404,BN123,"Design,Technology and Innovation",297.0,318,297.0
406,TA022,Creative Digital Media,260.0,318,260.0
407,TA023,Advertising and Marketing Communications,235.0,299,235.0
408,TA024,Early Childhood Care and Education,217.0,307,217.0
409,TA025,Social Care Practice,261.0,297,261.0
410,TA026,International Hospitality and Tourism Management,208.0,269,208.0
411,TA027,Botanical Cuisine,236.0,273,236.0
412,TA028,Digital Marketing Technologies,220.0,313,220.0
413,TA121,Accounting and Finance,202.0,328,202.0
414,TA122,Management,218.0,297,218.0
415,TA123,Marketing Management,207.0,284,207.0
416,TA125,International Business,229.0,300,229.0
417,TA221,Electronic Engineering,251.0,321,251.0
418,TA222,Mechanical Engineering,243.0,302,243.0
419,TA223,Sustainable Energy Engineering,236.0,305,236.0
420,TA224,Biomedical Design,218.0,324,218.0
421,TA225,Automation Engineering,235.0,288,235.0
422,TA226,Engineering Software,243.0,304,243.0
423,TA321,Pharmaceutical Science,261.0,298,261.0
424,TA322,Computing,200.0,294,200.0
425,TA323,Computing with IT Management,243.0,309,243.0
426,TA326,DNA and Forensic Analysis,300.0,362,300.0
427,TA327,Sports Science and Health,341.0,381,341.0
428,TA328,Computing with Language (French/German/Spanish),218.0,317,218.0
429,TA329,Computing with Data Analytics,218.0,296,218.0
