Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019,Institution
DB512,Business Studies,210.0,203.0,229.0,Dublin Business School
DB514,Business Studies (Law),225.0,251.0,269.0,Dublin Business School
DB515,Business Studies (Human Resource Management),217.0,244.0,225.0,Dublin Business School
DB516,Financial Services,,,328.0,Dublin Business School
DB517,Marketing (Event Management),225.0,238.0,226.0,Dublin Business School
DB518,Marketing (Digital Media),209.0,,210.0,Dublin Business School
DB521,Accounting and Finance,228.0,195.0,225.0,Dublin Business School
DB524,Business Information Systems,239.0,309.0,402.0,Dublin Business School
DB525,Marketing (Digital Media and Cloud Computing),288.0,,284.0,Dublin Business School
DB526,Business Information Systems (Cloud Computing),244.0,347.0,253.0,Dublin Business School
DB527,Applied Social Care,219.0,234.0,235.0,Dublin Business School
DB528,Applied Social Care,,,,Dublin Business School
DB531,Marketing,176.0,293.0,220.0,Dublin Business School
DB534,Sound Engineering and Music Production,,,,Dublin Business School
DB562,Psychology,233.0,229.0,208.0,Dublin Business School
DB563,Arts,,161.0,,Dublin Business School
DB566,Social Science,228.0,220.0,216.0,Dublin Business School
DB567,Film and Creative Media,213.0,202.0,192.0,Dublin Business School
DB568,Law,228.0,217.0,245.0,Dublin Business School
DB569,Business (Psychology),240.0,252.0,279.0,Dublin Business School
DB571,Business Studies,,122.0,,Dublin Business School
DB572,Business in Accounting,,117.0,,Dublin Business School
DB573,Business in Marketing,,117.0,,Dublin Business School
DB574,Business in Information Technology,,136.0,,Dublin Business School
DB576,Film and Creative Media,,,,Dublin Business School
DC001,Education - Early Childhood Education,445.0,440.0,398.0,Dublin City University
DC002,Education - Primary Teaching,518.0,488.0,,Dublin City University
DC003,Education - Primary Teaching - Gaeltacht Applicants,489.0,445.0,,Dublin City University
DC004,Education - Primary Teaching (Church of Ireland Ce,451.0,409.0,,Dublin City University
DC005,Education - Primary Teaching - Irish Sign Language,,,,Dublin City University
DC009,Arts (Joint Honours) - Humanities,356.0,376.0,347.0,Dublin City University
DC010,Post Primary Teacher Education - Religious Educati,384.0,429.0,386.0,Dublin City University
DC011,Post Primary Teacher Education - Religious Education and History,409.0,391.0,352.0,Dublin City University
DC012,Post Primary Teacher Education - Religious Education and Music,409.0,378.0,,Dublin City University
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,413.0,419.0,410.0,Dublin City University
DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,419.0,,Dublin City University
DC110,Business Studies International,498.0,465.0,440.0,Dublin City University
DC111,Business Studies,511.0,488.0,463.0,Dublin City University
DC112,Global Business (Franc,542.0,510.0,495.0,Dublin City University
